game_id,team,inning,score
2471,1,4,0
2471,0,5,0
2471,1,5,0
2471,0,6,0
2471,1,6,0
2471,0,7,0
2471,1,7,0
2471,0,8,0
2471,1,8,0
2471,0,9,0
2471,1,9,0
2472,0,1,1
2472,1,1,1
2472,0,2,0
2472,1,2,5
2472,0,3,0
2472,1,3,0
2472,0,4,0
2472,1,4,0
2472,0,5,0
2472,1,5,0
2472,0,6,1
2472,1,6,0
2472,0,7,0
2472,1,7,0
2472,0,8,0
2472,1,8,0
2472,0,9,0
2472,1,9,0
2473,0,1,0
2473,1,1,1
2473,0,2,0
2473,1,2,0
2473,0,3,0
2473,1,3,1
2473,0,4,0
2473,1,4,1
2473,0,5,0
2473,1,5,0
2473,0,6,0
2473,1,6,0
2473,0,7,0
2473,1,7,0
2473,0,8,0
2473,1,8,0
2473,0,9,0
2473,1,9,0
2474,0,1,0
2474,1,1,0
2474,0,2,0
2474,1,2,0
2474,0,3,0
2474,1,3,1
2474,0,4,0
2474,1,4,0
2474,0,5,0
2474,1,5,0
2474,0,6,0
2474,1,6,0
2474,0,7,0
2474,1,7,0
2474,0,8,0
2474,1,8,1
2474,0,9,0
2474,1,9,0
2475,0,1,0
2475,1,1,0
2475,0,2,0
2475,1,2,0
2475,0,3,0
2475,1,3,1
2475,0,4,2
2475,1,4,0
2475,0,5,3
2475,1,5,0
2475,0,6,0
2475,1,6,0
2475,0,7,0
2475,1,7,1
2475,0,8,0
2475,1,8,0
2475,0,9,0
2475,1,9,0
2476,0,1,3
2476,1,1,1
2476,0,2,0
2476,1,2,0
2476,0,3,1
2476,1,3,1
2476,0,4,3
2476,1,4,0
2476,0,5,1
2476,1,5,0
2476,0,6,0
2476,1,6,0
2476,0,7,0
2476,1,7,3
2476,0,8,0
2476,1,8,0
2476,0,9,1
2476,1,9,3
2477,0,1,2
2477,1,1,0
2477,0,2,0
2477,1,2,0
2477,0,3,1
2477,1,3,0
2477,0,4,0
2477,1,4,5
2477,0,5,0
2477,1,5,0
2477,0,6,0
2477,1,6,2
2477,0,7,0
2477,1,7,0
2477,0,8,1
2477,1,8,0
2477,0,9,0
2477,1,9,0
2478,0,1,0
2478,1,1,0
2478,0,2,0
2478,1,2,1
2478,0,3,0
2478,1,3,0
2478,0,4,0
2478,1,4,0
2478,0,5,0
2478,1,5,1
2478,0,6,0
2478,1,6,1
2478,0,7,0
2478,1,7,0
2478,0,8,0
2478,1,8,0
2478,0,9,0
2478,1,9,0
2479,0,1,0
2479,1,1,0
2479,0,2,0
2479,1,2,1
2479,0,3,2
