game_id,league_id,home_team,away_team,attendance,date,time,game_type,played,dh,innings,runs0,runs1,hits0,hits1,errors0,errors1,winning_pitcher,losing_pitcher,save_pitcher,starter0,starter1
102,100,24,25,24541,"2018-4-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,100,18,27,25001,"2018-4-16",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,100,28,19,38644,"2018-4-16",1335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,100,26,23,40843,"2018-4-16",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,100,9,12,37366,"2018-4-17",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,100,4,5,42133,"2018-4-17",1835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,100,8,6,37322,"2018-4-17",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,100,11,1,32294,"2018-4-17",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,100,10,21,38382,"2018-4-17",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,100,3,17,41885,"2018-4-17",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,100,29,22,34662,"2018-4-17",1840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,100,20,16,37090,"2018-4-17",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,100,24,25,24659,"2018-4-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,100,18,27,25169,"2018-4-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,100,28,19,38616,"2018-4-17",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,100,26,23,40842,"2018-4-17",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,100,9,12,37103,"2018-4-18",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,100,4,5,42186,"2018-4-18",1810,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,100,8,6,37213,"2018-4-18",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,100,7,13,25684,"2018-4-18",1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,100,11,1,31997,"2018-4-18",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,100,14,2,31296,"2018-4-18",1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,100,10,21,38521,"2018-4-18",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,100,3,17,41886,"2018-4-18",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,100,30,15,38616,"2018-4-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,100,29,22,34678,"2018-4-18",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,100,20,16,37243,"2018-4-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,100,24,25,24930,"2018-4-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,100,18,27,24990,"2018-4-18",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,100,28,19,38897,"2018-4-18",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,100,26,23,41092,"2018-4-18",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,100,4,5,42415,"2018-4-19",1830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,100,8,6,37287,"2018-4-19",1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,100,7,13,25740,"2018-4-19",1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,100,11,1,32112,"2018-4-19",1237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,100,14,2,31228,"2018-4-19",1930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,100,3,12,42196,"2018-4-19",1907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,100,30,15,38732,"2018-4-19",1320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,100,27,17,25397,"2018-4-19",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,100,20,25,37073,"2018-4-19",2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,100,28,29,38926,"2018-4-19",1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,100,9,2,37235,"2018-4-20",1910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
