team_id,year,league_id,sub_league_id,division_id,level_id,split_id,pa,ab,h,k,tb,s,d,t,hr,sb,cs,rbi,r,bb,ibb,hp,sh,sf,ci,gdp,g,gs,ebh,pitches_seen,avg,obp,slg,rc,rc27,iso,woba,ops,sbp,ws
3,2003,100,0,0,1,0,6456,5773,1631,999,2739,1008,367,27,229,55,25,887,920,542,37,81,6,53,1,138,162,1458,623,0,0.2825,0.3495,0.4745,955.8154,5.9136,0.1919,0.0000,0.8240,68.7500,0.0000
3,2004,100,0,0,1,0,6388,5613,1500,1133,2536,931,323,25,221,55,26,834,866,637,41,54,18,63,3,148,162,1458,569,0,0.2672,0.3441,0.4518,876.8406,5.4200,0.1846,0.0000,0.7959,67.9012,0.0000
3,2005,100,0,0,1,0,6479,5705,1529,1076,2417,1018,310,25,176,50,32,828,852,650,43,65,16,41,2,149,162,1458,511,0,0.2680,0.3473,0.4237,843.2150,5.1579,0.1557,0.0000,0.7710,60.9756,0.0000
3,2006,100,0,0,1,0,6361,5617,1533,1029,2509,992,318,11,212,36,15,893,920,612,57,72,25,33,2,161,162,1458,541,0,0.2729,0.3500,0.4467,873.3066,5.4607,0.1738,0.0000,0.7967,70.5882,0.0000
3,2007,100,0,0,1,0,6313,5593,1471,1073,2378,960,304,18,189,83,30,761,787,589,37,53,22,56,0,145,162,1458,511,0,0.2630,0.3359,0.4252,804.0014,4.9618,0.1622,0.0000,0.7611,73.4513,0.0000
3,2008,100,0,0,1,0,6638,5829,1653,999,2635,1086,345,29,193,133,48,925,965,646,45,77,24,60,2,136,162,1458,567,0,0.2836,0.3593,0.4521,965.8938,5.8684,0.1685,0.0000,0.8114,73.4807,0.0000
3,2009,100,0,0,1,0,6404,5661,1515,1097,2484,960,330,36,189,118,34,817,846,602,40,61,16,63,1,137,163,1467,555,0,0.2676,0.3410,0.4388,861.4835,5.2912,0.1712,0.0000,0.7798,77.6316,0.0000
3,2010,100,0,0,1,0,6261,5632,1436,1190,2272,953,299,15,169,42,17,686,709,525,44,47,17,39,1,135,162,1458,483,0,0.2550,0.3216,0.4034,729.4258,4.4720,0.1484,0.0000,0.7250,71.1864,0.0000
3,2011,100,0,0,1,0,6349,5676,1581,1063,2564,1031,317,33,200,99,46,837,875,557,28,47,10,57,2,129,162,1458,550,0,0.2785,0.3448,0.4517,886.7435,5.5204,0.1732,0.0000,0.7965,68.2759,0.0000
3,2012,100,0,0,1,0,6189,5628,1401,1273,2156,949,291,19,142,80,35,632,656,452,34,51,18,38,2,123,162,1458,452,0,0.2489,0.3086,0.3831,662.8027,4.0296,0.1342,0.0000,0.6917,69.5652,0.0000
3,2013,100,0,0,1,0,6291,5635,1442,1335,2266,946,323,18,155,82,17,707,746,535,37,61,10,49,1,123,162,1458,496,0,0.2559,0.3245,0.4021,749.7432,4.6091,0.1462,0.0000,0.7267,82.8283,0.0000
3,2014,100,0,0,1,0,6266,5639,1457,1344,2239,994,289,29,145,17,10,667,696,506,30,73,9,39,0,144,162,1458,463,0,0.2584,0.3254,0.3971,725.5101,4.4682,0.1387,0.0000,0.7225,62.9630,0.0000
3,2015,100,0,0,1,0,6351,5739,1564,1220,2479,1057,290,26,191,28,20,759,793,530,65,39,6,36,1,159,162,1458,507,0,0.2725,0.3362,0.4320,814.3533,5.0017,0.1594,0.0000,0.7682,58.3333,0.0000
