player_id,league_id,streak_id,value,has_ended,started,ended
375,100,5,2,0,"2006-9-16",NULL
375,100,7,3,0,"2006-9-16",NULL
399,100,0,17,1,"2001-5-26","2001-6-15"
399,100,2,4,1,"2001-5-27","2001-6-1"
399,100,1,7,1,"2002-8-27","2002-9-4"
399,100,3,7,1,"2006-7-22","2006-8-1"
399,100,0,3,0,"2008-9-26",NULL
399,100,3,1,0,"2008-9-28",NULL
401,100,3,5,1,"2000-7-14","2000-7-19"
401,100,0,20,1,"2001-6-5","2001-7-5"
401,100,1,10,1,"2001-6-5","2001-6-21"
401,100,2,2,1,"2009-6-2","2009-6-14"
401,100,1,2,0,"2010-9-12",NULL
401,100,0,1,0,"2010-10-3",NULL
401,100,2,1,0,"2010-10-3",NULL
401,100,3,1,0,"2010-10-3",NULL
410,100,2,2,1,"2000-5-14","2000-5-17"
410,100,1,3,1,"2000-6-25","2000-6-29"
410,100,0,6,1,"2000-7-26","2000-8-3"
410,100,3,5,1,"2000-7-26","2000-8-1"
413,100,5,1,0,"2003-9-15",NULL
419,100,5,1,1,"2000-5-7","2001-4-29"
419,100,6,1,1,"2001-4-29","2001-5-7"
419,100,5,2,0,"2001-5-7",NULL
443,100,1,4,1,"2003-4-18","2003-4-27"
443,100,0,6,1,"2003-5-28","2003-6-22"
443,100,2,1,1,"2005-7-3","2005-7-4"
443,100,3,2,1,"2005-7-31","2005-8-18"
443,100,0,2,0,"2005-9-7",NULL
443,100,3,1,0,"2005-9-22",NULL
449,100,0,25,1,"2001-6-16","2001-7-15"
449,100,1,9,1,"2001-10-4","2002-4-8"
449,100,2,4,1,"2002-5-12","2002-5-16"
449,100,3,6,1,"2003-9-27","2004-4-10"
457,100,6,2,1,"2001-6-29","2001-7-13"
457,100,5,1,1,"2001-8-1","2001-8-11"
457,100,6,4,0,"2001-8-11",NULL
457,100,4,1,1,"2001-8-25","2002-6-16"
471,100,0,8,1,"2000-8-4","2000-8-21"
471,100,3,6,1,"2000-8-4","2000-8-15"
471,100,1,3,1,"2000-8-8","2000-8-15"
